"id","title","time","director","year","star","cost"
1368,"The Counselor (Unrated Extended Cut) [Blu-ray] "," 118 minutes ","Ridley Scott",02/11/14,"Michael Fassbender",$18.39
1369,"Transporter 1 & 2 [Blu-ray] ",,"Corey Yuen",05/15/12,"Jason Statham",$8.99
1370,"The Silver Fleet "," 88 minutes ","Vernon Campbell Sewell",11/15/11,"Ralph Richardson",$8.19
1371,"Tommy Boy (1995) (BD) [Blu-ray] "," 97 minutes ","Various",12/16/08,"Various",$9.99
1372,"The Secret Life of Walter Mitty Extended Preview    ","10 minutes","Ben Stiller",2013,"Ben Stiller, Kristen Wiig","Buy SD Free,"
1373,"The Beast From 20,000 Fathoms / Them! (Double Feature) "," 518 minutes ","Various",08/22/06,"Various",$9.76
1374,"Casablanca / African Queen (DBFE) ",,"Various",03/12/13,"Various",$12.79
1375,"Lost Girl: Season 4 "," 572 minutes ",,06/24/14,"Kris Ried-Holden",$25.86
1376,"The World's Highest Race (English Subtitled)    ",,,2015,,"Rent SD $1.49,Buy HD $3.99,Buy SD $2.99,"
1377,"CONSTANTINE   ","43 minutes","Neil Marshall",2014,"Matt Ryan, Lucy Griffiths","Buy SD $1.99,"
1378,"Bluehill Avenue "," 128 minutes ",,12/23/03,"W.B. Alexander",$6.59
1379,"Jericho: The Complete Series "," 800 minutes ",,06/16/15,"John Leyton",$27.79
1380,"The Samurai Trilogy (The Criterion Collection) [Blu-ray] "," 300 minutes ","Hiroshi Inagaki",06/26/12,"Toshiro Mifune",$37.49
1381,"BERSERK: The Golden Age Arc II - The Battle for Doldrey    ","1 hour, 33 minutes","Toshiyuki Kubooka",2013,"Orion Acaba, Chris Jai Alex","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
1382,"Crouching Tiger, Hidden Dragon   ","2 hours, 1 minute","Ang Lee",2000,"Yun-Fat Chow, Michelle Yeoh","Buy HD $12.99,Buy SD $9.99,"
1383,"King Kong vs. Godzilla [Blu-ray] "," 96 minutes ","Ishiro Honda",04/01/14,,$9.58
1384,"Predators (Blu-ray + Digital Copy) "," 105 minutes ","Nimród Antal",10/19/10,"Adrien Brody",$9.96
1385,"We Are Blood    ","1 hour, 31 minutes","Ty Evans",2015,"Paul Rodriguez,Jordan Maxham","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
1386,"The Punisher "," 124 minutes ","Jonathan Hensleigh",09/07/04,"Thomas Jane",$5.90
1387,"Ran (StudioCanal Collection) [Blu-ray] "," 162 minutes ","Akira Kurosawa",02/16/10,"Tatsuya Nakadai",$14.39
1388,"Search: The Complete Series "," 150 minutes ",,02/13/14,,$48.15
1389,"The Treasure of the Sierra Madre    ","2 hours, 7 minutes","John Huston",1948,"Humphrey Bogart, Walter Huston","Rent HD $3.99,Buy HD $12.99,Buy SD $9.99,"
1390,"Inspector Gadget    ","1 hour, 19 minutes","David Kellogg",1999,"Matthew Broderick, Rupert Everett","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1391,"War of the Worlds "," 116 minutes ","Steven Spielberg",11/22/05,"Tom Cruise",$8.18
1392,"Emergency! - Season Four "," 1086 minutes ",,01/29/08,"Kevin Tighe",$22.66
1393,"Season of the Witch "," 95 minutes ",,06/28/11,"Nicolas Cage",$8.99
1394,"Scarecrow and Mrs. King: Season 3 "," 968 minutes ",,03/20/12,"Kate Jackson",$22.49
1395,"Tom And Huck    ","1 hour, 32 minutes","Peter Hewitt",1995,"Jonathan Taylor Thomas, Brad Renfro","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1396,"Trader Horn "," 123 minutes ","W.S. Van Dyke",09/01/15,"Harry Carey",$21.99
1397,"Hero "," 99 minutes ","Yimou Zhang",04/26/11,"Jet Li",$5.00
1398,"Tristan And Isolde    ","2 hours, 6 minutes","Kevin Reynolds",2006,"James Franco, Sophia Myles","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1399,"Magnum P.I.: Season 2 "," 1085 minutes ",,07/03/12,"Tom Selleck",$10.44
1400,"4 Film Favorites: Sylvester Stallone (Demolition Man, Over The Top, The Specialist, Tango & Cash) "," 518 minutes ","Andrei Konchalovsky",11/06/07,"Sylvester Stallone",$9.19
1401,"Red Dawn "," 114 minutes ","John Milius",02/04/98,"Patrick Swayze",$11.04
1402,"Reality Rides   ",10/26/13,"Brian Greene",2013,"22 minutes","Buy SD $1.99,"
1403,"The Punisher "," 89 minutes ","Mark Goldblatt",04/20/99,"Dolph Lundgren",$7.99
1404,"Teen Titans: Trouble in Tokyo    ","1 hour, 16 minutes","Michael Chang",2007,"Greg Cipes, Scott Menville","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1405,"U-571    ","1 hour, 57 minutes","Jonathan Mostow",2000,"Matthew McConaughey, Bill Paxton","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1406,"Stargate Atlantis - The Complete First Season "," 873 minutes ","Andy Mikita",11/15/05,"Joe Flanigan",$12.50
1407,"Get Smart (Single-Disc Widescreen Edition) "," 109 minutes ",,11/04/08,"Steve Carell",$3.74
1408,"Into the Blue "," 106 minutes ",,10/09/12,"Paul Walker",$5.99
1409,"Gold Rush   ","1 hour, 24 minutes","Dave Turin",2014,"Dave Turin, Fred Dodge","Buy SD $1.99,Buy HD $24.99,Buy SD $17.99,"
1410,"Xploration Awesome Planet   ",09/13/14,"Steve Rotfeld",2014,"20 minutes","Buy SD $0.99,Buy HD $10.99,Buy SD $9.99,"
1411,"Vanishing Point "," 91 minutes ","Charles Robert Carner",07/03/12,"Viggo Mortensen",$6.45
1412,"The Mark of Zorro (Special Edition) (Colorized / Black and White) "," 94 minutes ","Rouben Mamoulian",10/18/05,"Tyrone Power",$19.98
1413,"Everybody's Fine "," 99 minutes ","Kirk Jones",04/26/11,"Robert De Niro",$6.39
1414,"Seven Years In Tibet    ","2 hours, 17 minutes","Jean-Jacques Annaud",1997,"Brad Pitt, David Thewlis","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
1415,"City Slickers 2 - The Legend of Curly's Gold "," 116 minutes ","Paul Weiland",04/03/07,"Billy Crystal",$4.96
1416,"The Collective    ","43 minutes","Andrew Shandro",2004,"Andrew Shandro,Dave Watson","Rent SD $3.99,Buy SD $7.99,"
1417,"The Alamo    ","2 hours, 17 minutes","John Lee Hancock",2004,"Dennis Quaid, Billy Bob Thornton","Rent HD $3.99,Rent SD $2.99,"
1418,"Ball of Fire (DVD) "," 111 minutes ","Various",07/15/14,"Various",$8.90
1419,"The Motorcycle Diaries (Widescreen Edition) "," 127 minutes ","Walter Salles",02/15/05,"Gael Garcia Bernal",$8.67
1420,"Treasure Island (1990) "," 131 minutes ","Fraser C. Heston",09/27/11,"Charlton Heston",$8.69
1421,"Breakdown "," 95 minutes ","Various",12/01/98,"Various",$5.00
1422,"Yellowneck    ","1 hour, 24 minutes","R. John Hugh",1955,"Lin McCarthy, Stephen Courtleigh","Buy SD $4.99,"
1423,"Redemption "," 100 minutes ","Steven Knight",09/24/13,"Jason Statham",$5.99
1424,"Robin Hood - Unrated Director's Cut [Blu-ray] "," 156 minutes ","Ridley Scott",03/13/12,"Russell Crowe",$9.49
1425,"Batman Beyond: Return of the Joker    ","1 hour, 17 minutes","Curt Geda",2000,"Will Friedle, Kevin Conroy","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
1426,"Lethal Weapon 2    ","1 hour, 55 minutes","Richard Donner",1989,"Mel Gibson, Danny Glover","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1427,"The Ten Commandments [Blu-ray] "," 176 minutes ","Robert Dornhelm",08/12/08,"Omar Sharif",$4.84
1428,"Alaskan Bush People   ",05/29/15,,2015,,"Buy SD $1.99,"
1429,"The Grey "," 118 minutes ","Joe Carnahan",05/15/12,"Liam Neeson",$4.99
1430,"The Odessa File "," 128 minutes ","Ronald Neame",12/07/10,"Jon Voight",$6.93
1431,"Speed Racer    ","2 hours, 15 minutes","Andy Wachowski",2008,"Emile Hirsch, Nicholas Elia","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1432,"Ulysses "," 94 minutes ",,08/04/09,"Kirk Douglas",$9.94
1433,"Terminator 3: Rise of the Machines /  Terminator Salvation (Double Feature) "," 244 minutes ","Jonathan Mostow",10/11/11,"Arnold Schwarzenegger",$7.24
1434,"Beat The Devil    ","1 hour, 30 minutes","John Huston",1954,"Humphrey Bogart, Jennifer Jones",
1435,"Follow the River "," 93 minutes ","Martin Davidson",07/09/13,"Ellen Burstyn",$5.99
1436,"Spartacus   ","55 minutes","Manu Bennett",2010,"Manu Bennett, Daniel Feuerriegel","Buy SD $1.99,Buy HD $12.99,Buy SD $9.99,"
1437,"Snake & Mongoose "," 102 minutes ","Wayne Holloway",04/08/14,"Jesse Williams",$8.35
1438,"MacArthur "," 130 minutes ","Joseph Sargent",10/30/01,"Gregory Peck",$6.59
1439,"Commando [Blu-ray] "," 90 minutes ","Mark L. Lester",04/15/08,"Arnold Schwarzenegger",$14.99
1440,"Bloodsport / Timecop (Action Double Feature) [Blu-ray] "," 190 minutes ",,09/14/10,,$9.29
1441,"Harley Davidson and the Marlboro Man "," 98 minutes ","Simon Wincer",02/06/01,"Mickey Rourke",$29.99
1442,"No Night Is Too Long "," 121 minutes ","Tom Shankland",01/14/14,"Lee Williams",$4.79
1443,"Bad Boys/Bad Boys II "," 266 minutes ","Michael Bay",12/29/09,"Will Smith",$9.61
1444,"Lords Of Dogtown    ","1 hour, 47 minutes","Catherine Hardwicke",2005,"John Robinson, Emile Hirsch","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1445,"V: The Final Battle "," 360 minutes ","Various",10/04/05,"Various",$8.60
1446,"Campion - The Complete First Season "," 431 minutes ","Various",10/25/05,"Various",$50.63
1447,"A Passage to India [Blu-ray] "," 164 minutes ","David Lean",04/15/08,"Peggy Ashcroft",$7.30
1448,"The Shadow "," 108 minutes ","Russell Mulcahy",11/19/97,"Alec Baldwin",$9.98
1449,"Lost: The Complete Collection "," 5074 minutes ","Adam Davidson",08/24/10,"Jorge Garcia",
1450,"BERLIN EXPRESS "," 86 minutes ","Jacques Tourneur",12/02/09,"Merle Oberon",$14.99
1451,"Dokkoida?!   ",01/01/04,"James Corrigall",2004,"24 minutes","Buy SD $19.99,"
1452,"SWAT: UNIT 887    ","1 hour, 36 minutes","Timothy Woodward Jr.",2015,"Tom Sizemore,Mischa Barton","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $7.99,"
1453,"Under Siege/Under Siege 2: Dark Territory (DBFE) "," 203 minutes ",,09/02/08,"Steven Seagal",$7.24
1454,"Outbreak (Keep Case Packaging) "," 131 minutes ","Wolfgang Petersen",09/08/09,"Zakes Mokae",$4.31
1455,"Memphis Belle (Keepcase) "," 108 minutes ","Michael Caton-Jones",09/08/09,"Matthew Modine",$7.89
1456,"The Bionic Woman: Season 1 "," 707 minutes ",,10/19/10,"Lindsay Wagner",$16.29
1457,"Spartacus: Gods Of The Arena - The Complete Collection [DVD] "," 335 minutes ",,09/13/11,"John Hannah",$8.90
1458,"Primeval: Volume 1 (Series 1 and 2) "," 592 minutes ","Various",11/04/08,"Various",$21.99
1459,"Pirates of the Caribbean: Four-Movie Collection (Blu-ray + Digital Copy) "," 598 minutes ","Rob Marshall",10/18/11,"Johnny Depp",$104.49
1460,"Training Day (BD) [Blu-ray] "," 122 minutes ","Antoine Fuqua",05/13/14,"Denzel Washington",$7.49
1461,"Escape from New York "," 99 minutes ","John Carpenter",11/21/00,"Kurt Russell",$3.74
1462,"Alone Across Alaska: 1,000 Miles of Wilderness    ","1 hour, 35 minutes","Unavailable",2013,"Buck Nelson","Buy SD $14.99,"
1463,"Eraser "," 115 minutes ","Chuck Russell",09/08/09,"Arnold Schwarzenegger",$4.97
1464,"Ace Ventura 1-3 Collection (3FE) "," 274 minutes ",,03/29/11,,$7.50
1465,"Jack Ryan 3 Pack (The Hunt for Red October / Patriot Games / Clear and Present Danger) "," 392 minutes ","John McTiernan",03/06/07,"Sean Connery",$14.99
1466,"Jackie Brown (Two-Disc Collector's Edition) "," 154 minutes ","Quentin Tarantino",04/26/11,"Pam Grier",$5.00
1467,"Gunsmoke Movie Collection (Return to Dodge/The Last Apache/To the Last Man) "," 299 minutes ","Charles Correll",05/11/04,"James Arness",$25.82
1468,"Hopscotch (The Criterion Collection) "," 105 minutes ","Ronald Neame",06/01/10,"Walter Matthau",$19.99
1469,"The Buccaneer "," 119 minutes ",,02/28/12,"Yul Brenner",$11.99
1470,"Greystoke - The Legend of Tarzan "," 137 minutes ","Hugh Hudson",02/08/05,"Ralph Richardson",$8.16
1471,"Johnny English Reborn    ","1 hour, 42 minutes","Oliver Parker",2012,"Roger Barclay, Eric Carte","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1472,"Sgt. Pepper's Lonely Hearts Club Band "," 112 minutes ","Michael Schultz",08/12/03,"Peter Frampton",$9.73
1473,"I'm Gonna Git You Sucka "," 88 minutes ","Keenen Ivory Wayans",01/09/01,"Keenen Ivory Wayans",$9.63
1474,"Hancock (Unrated Special Edition) [Blu-ray] "," 194 minutes ","Peter Berg",11/25/08,"Will Smith",$7.00
1475,"Batman and Robin - The Complete 1949 Movie Serial Collection "," 263 minutes ","Spencer Gordon Bennet",03/22/05,"Robert Lowery",$15.27
1476,"King Arthur    ","2 hours, 6 minutes","Antoine Fuqua",2004,"Clive Owen, Ioan Gruffudd","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1477,"Enemy At The Gates [Blu-ray] "," 79 minutes ","Various",05/19/09,"Various",$7.31
1478,"Justice League Adventures: Trapped in Time    ","53 minutes","Giancarlo Volpe",2014,"Diedrich Bader, Laura Bailey","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
1479,"13 Assassins [Blu-ray] "," 125 minutes ","Takashi Miike",07/05/11,"Koji Yakusho",$7.99
1480,"Belly (Special Edition) "," 96 minutes ","Hype Williams",01/20/04,"Nas",$7.99
1481,"Colombiana (Blu-ray + UltraViolet Digital Copy) "," 111 minutes ","Olivier Megaton",12/20/11,"Zoe Saldana",$6.96
1482,"Cannibal Ferox "," 93 minutes ","Umberto Lenzi",10/31/06,"Giovanni Lombardo Radice",$14.99
1483,"Quest for Fire "," 100 minutes ","Jean-Jacques Annaud",03/04/03,"Everett McGill",$6.25
1484,"Rocky / Rocky II / Rocky III / Rocky IV "," 430 minutes ",,01/18/11,,$27.99
1485,"The Kings of Summer [Blu-ray] "," 95 minutes ","Jordan Vogt-Roberts",09/24/13,"Alison Brie",$7.83
1486,"Everything Is Illuminated    ","1 hour, 46 minutes","Liev Schreiber",2005,"Eugene Hutz, Elijah Wood","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1487,"The Man From Nowhere "," 148 minutes ","Lee Jeong-beom",03/08/11,"Won Bin",$7.65
1488,"Utawarerumono: The Complete Series Box Set S.A.V.E. "," 650 minutes ","Christine Auten",10/19/10,"John Gremillion",$19.49
1489,"Superman/Batman: Apocalypse [Blu-ray] "," 78 minutes ","Various",09/28/10,"Various",$15.69
1490,"Follow Me    ","45 minutes","Colin Jones",2010,"Sa, Hill","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
1491,"Hitman (Unrated Edition) "," 100 minutes ","Xavier Gens",03/11/08,"Timothy Olyphant",$2.99
1492,"A.I. Artificial Intelligence [Blu-ray] "," 146 minutes ","Steven Spielberg",04/05/11,"Haley Joel Osment",$14.39
1493,"Parker (+UltraViolet Digital Copy) "," 119 minutes ","Taylor Hackford",05/21/13,"Jason Statham",$5.00
1494,"Hand Cut    ","28 minutes","Edward Rosenblum",2015,"Edward Rosenblum","Buy SD $2.99,"
1495,"Appaloosa    ","1 hour, 56 minutes","Ed Harris",2008,"Robert Jauregui, Jeremy Irons","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1496,"Jack of All Trades - The Complete Series "," 489 minutes ","Eric Gruendemann",07/18/06,"Bruce Campbell",$17.07
1497,"Die Hard: With a Vengeance    ","2 hours, 9 minutes","John McTiernan",1995,"Bruce Willis, Jeremy Irons","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
1498,"The Gift    ","1 hour, 52 minutes","Sam Raimi",2001,"Cate Blanchett, Giovanni Ribisi","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1499,"Gone Fishin' "," 94 minutes ","Christopher Cain",03/04/03,"Joe Pesci",$9.49
1500,"Berserk: The Golden Age Arc II - The Battle for Doldrey (BD) [Blu-ray] "," 92 minutes ","Various",08/06/13,"Various",$19.13
1501,"After the Sunset    ","1 hour, 38 minutes","Brett Ratner",2004,"Pierce Brosnan, Salma Hayek","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1502,"Godzilla (plus bonus features!)    ","2 hours, 19 minutes","Gareth Edwards",2014,"Aaron Taylor-Johnson, CJ Adams","Buy HD $17.99,Buy SD $9.99,"
1503,"Return of the Man from U.N.C.L.E.: The Fifteen Years Later Affair "," 96 minutes ",,03/03/09,"Robert Vaughn",$7.50
1504,"Frantic / Presumed Innocent [Blu-ray] "," 247 minutes ",,05/31/11,,$9.99
1505,"All The President Men / Three Days of The Condor (DBFE) ",,"Various",03/12/13,"Various",$6.99
1506,"Western Gold    ","1 hour, 30 minutes","Alex Savage",2012,"Jessica Campbell, Johnny Goicoechea","Buy SD $6.99,"
1507,"Logan's Run    ","1 hour, 59 minutes","Michael Anderson",1976,"Michael York, Richard Jordan","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1508,"The In-Laws (1979)    ","1 hour, 43 minutes","Arthur Hiller",1979,"Peter Falk, Alan Arkin","Rent HD $3.99,Buy HD $12.99,Buy SD $9.99,"
1509,"Young Guns 2    ","1 hour, 45 minutes","Geoff Murphy",1990,"Emilio Estevez, Kiefer Sutherland","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1510,"The Time Machine    ","1 hour, 43 minutes","George Pal",1960,"Rod Taylor, Alan Young","Rent SD $2.99,Buy SD $9.99,"
1511,"Snowpiercer    ","2 hours, 7 minutes","Joon-ho Bong",2014,"Chris Evans, Kang-ho Song","Buy HD $12.99,Buy SD $9.99,"
1512,"Stargate Atlantis: Season 2 "," 872 minutes ","Andy Mikita",03/06/07,"Joe Flanigan",$9.49
1513,"M*A*S*H (Widescreen Edition) "," 116 minutes ","Robert Altman",09/07/04,"Donald Sutherland",$5.00
1514,"Red Dawn ('84)    ","1 hour, 54 minutes","John Milius",1984,"Patrick Swayze, C. Thomas Howell","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1515,"Snitch [DVD + Digital Copy + UltraViolet] "," 112 minutes ",,06/11/13,"Dwayne Johnson",$5.00
1516,"Intrepid Descent    ","26 minutes","Erik Osterholm",2008,"Jeff Weintraub,Brooks Dodge","Buy SD $9.99,"
1517,"The Postman    ","2 hours, 58 minutes","Kevin Costner",1997,"Kevin Costner, Will Patton","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1518,"Heroes   ","1 hour, 27 minutes","David Straiton",2009,"Jack Coleman, Greg Grunberg","Buy SD $1.99,Buy HD $14.99,Buy SD $14.99,"
1519,"Accused, The (1988) "," 112 minutes ","Jonathan Kaplan",04/16/02,"Jodie Foster",$5.97
1520,"Innerspace (1987) "," 120 minutes ","Joe Dante",09/14/04,"Dennis Quaid",$8.22
1521,"The Brothers Grimm [Blu-ray] "," 118 minutes ","Terry Gilliam",01/08/13,"Matt Damon",$4.91
1522,"Sneakers (Widescreen Collector's Edition) "," 126 minutes ","Phil Alden Robinson",12/28/04,"Robert Redford",$5.97
1523,"The Rum Diary "," 120 minutes ","Bruce Robinson",02/14/12,"Johnny Depp",$5.48
1524,"The Eagle Has Landed    ","2 hours, 12 minutes","John Sturges",2001,"Michael Caine, Donald Sutherland","Buy SD $6.99,"
1525,"Adventures of Robin Hood    ","1 hour, 42 minutes","Michael Curtiz",1938,"Errol Flynn, Olivia de Havilland","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1526,"Jarhead    ","2 hours, 4 minutes","Sam Mendes",2005,"Jake Gyllenhaal, Scott MacDonald","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1527,"Carlito's Way [Blu-ray] "," 144 minutes ","Brian De Palma",05/18/10,"Al Pacino",$7.88
1528,"Showdown in Little Tokyo [Blu-ray] "," 78 minutes ","Mark L. Lester",07/21/15,"Dolph Lundgren",$16.99
1529,"Never Back Down (Single-Disc Edition) "," 113 minutes ",,07/29/08,"Sean Faris",$5.00
1530,"Last Castle, The (2001) "," 133 minutes ","Various",05/21/13,"Various",$8.16
1531,"Men in Black (Mastered in 4K) (Single-Disc Blu-ray + UltraViolet Digital Copy) "," 98 minutes ","Barry Sonnenfeld",07/16/13,"Linda Fiorentino",$9.49
1532,"The Losers    ","1 hour, 37 minutes","Sylvain White",2010,"Jeffrey Dean Morgan, Zoe Saldana","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1533,"Hansel & Gretel: Witch Hunters (Unrated Cut) (Blu-ray / DVD ) "," 88 minutes ","Tommy Wirkola",06/11/13,"Jeremy Renner",$14.60
1534,"The Wild Bunch [Blu-ray] "," 145 minutes ","Sam Peckinpah",09/25/07,"William Holden",$9.69
1535,"Southland Tales [Blu-ray] "," 144 minutes ","Richard Kelly",11/18/08,"Sarah Gellar",$5.75
1536,"Hurt Locker [Blu-ray] "," 130 minutes ","Kathryn Bigelow",01/12/10,"Jeremy Renner",$7.50
1537,"Your Highness "," 209 minutes ","David Gordon Green",08/09/11,"Danny McBride",$9.58
1538,"Emergency! Season Two "," 1058 minutes ",,02/07/06,"Kevin Tighe",$24.43
1539,"Juice "," 95 minutes ","Ernest Dickerson",01/16/01,"Omar Epps",$5.97
1540,"Safe [DVD + Digital Copy] "," 94 minutes ",,09/04/12,"Jason Statham",$5.00
1541,"Once a Gangster (English Subtitled)   ","1 hour, 36 minutes","Felix Chong",2010,"Ekin Cheng, Jordan Chan","Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
1542,"Knight and Day (Extended Edition)    ","1 hour, 58 minutes","James Mangold",2010,"Tom Cruise, Cameron Diaz","Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1543,"Battlestar Galactica ('04)   ","1 hour, 29 minutes","Sergio Mimica-Gezzan",2006,"Edward James Olmos, Mary McDonnell","Buy SD $1.99,Buy HD $39.99,Buy SD $34.99,"
1544,"Mortal Kombat    ","1 hour, 42 minutes","Paul W.S. Anderson",1995,"Christopher Lambert, Robin Shou","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1545,"The Day of the Jackal    ","2 hours, 24 minutes","Fred Zinnemann",1973,"Edward Fox, Terence Alexander","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1546,"James Clavell's Noble House "," 355 minutes ",,03/25/08,"Pierce Brosnan",$8.15
1547,"DCU: Superman: Unbound    ","1 hour, 16 minutes","James Tucker",2013,"Matt Bomer, Stana Katic","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1548,"Everest   ","2 hours, 1 minute","Baltasar Kormákur",2015,"Jason Clarke, Ang Phula Sherpa","Pre-order SD $14.99,"
1549,"Face/Off [Blu-ray] "," 85 minutes ","Various",06/03/08,"Various",$9.04
1550,"Batman   ","26 minutes","Robert Butler",1966,"Adam West, Burt Ward","Buy SD $1.99,Buy HD $39.99,Buy SD $29.99,"
1551,"Fanboys [Blu-ray] "," 90 minutes ","Kyle Newman",07/27/10,"Dan Fogler",$8.69
1552,"Stargate (Ultimate Edition) "," 119 minutes ","Roland Emmerich",02/17/03,"Kurt Russell",$6.59
1553,"Titus "," 162 minutes ","Julie Taymor",04/18/06,"Anthony Hopkins",$10.17
1554,"The Last Keepers    ","1 hour, 41 minutes","Maggie Greenwald",2013,"Aidan Quinn, Virginia Madsen","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1555,"Poseidon (2006)    ","1 hour, 39 minutes","Wolfgang Petersen",2006,"Josh Lucas, Kurt Russell","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1556,"Speed Buggy (4 Disc) "," 352 minutes ",,03/02/11,"Michael Bell",$29.88
1557,"V: The Complete Series "," 897 minutes ","Kevin Hooks",10/04/05,"Marc Singer",$11.99
1558,"Heartbreak Ridge "," 130 minutes ","Clint Eastwood",06/01/10,"Clint Eastwood",$4.00
1559,"New York Minute    ","1 hour, 31 minutes","Dennie Gordon",2004,"Ashley Olsen, Mary-Kate Olsen","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1560,"The Painted Hills    ","1 hour, 28 minutes","Harold F. Kress",1951,"Pal, Paul Kelly","Buy SD $9.99,"
1561,"Phantom, The (1996) "," 101 minutes ","Various",05/21/13,"Various",$4.96
1562,"Greystoke: The Legend of Tarzan, Lord of the Apes    ","2 hours, 17 minutes","Hugh Hudson",1984,"Ralph Richardson, Ian Holm","Buy SD $9.99,"
1563,"The Venture Bros. - Season Two "," 295 minutes ","Various",04/17/07,"Various",$23.49
1564,"Sherlock Holmes & The Secret Weapon    ","1 hour, 11 minutes","Roy William Neill",1943,"Basil Rathbone, Nigel Bruce","Buy SD $3.99,"
1565,"The Hunt   ",06/01/13,"Travis Ralls",2013,"23 minutes","Buy SD $1.99,Buy HD $11.99,Buy SD $10.99,"
1566,"Fool's Gold (Widescreen Edition) "," 112 minutes ",,06/17/08,"Matthew McConaughey",$4.99
1567,"Great St. Louis Bank Robbery    ","1 hour, 29 minutes","Charles Guggenheim",1959,"Steve McQueen, Crahan Denton","Buy SD $4.99,"
1568,"Doctor Who: The Complete Fifth Series [Blu-ray] "," 655 minutes ",,11/09/10,"Matt Smith",$46.49
1569,"Mortdecai (PG-13)    ","1 hour, 47 minutes","David Koepp",2015,"Johnny Depp, Gwyneth Paltrow","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
1570,"Cowboys & Aliens - Extended Edition (Blu-ray + DVD + Digital Copy + UltraViolet) "," 135 minutes ","Jon Favreau",12/06/11,"Daniel Craig",$7.50
1571,"Thundercats   ","23 minutes","Bob McFadden",1985,"Bob McFadden, Earl Hammond","Buy SD $47.99,"
1572,"Training Day [Blu-ray] "," 122 minutes ","Antoine Fuqua",08/01/06,"Denzel Washington",$8.99
1573,"Against All Flags "," 84 minutes ","George Sherman",08/28/14,"Errol Flynn",$14.98
1574,"Only the Valiant (1951) (Restored Edition)   ","1 hour, 45 minutes","Gordon Douglas",2015,"GregoryPeck,BarbaraPayton","Buy SD $2.50,"
1575,"Bandolero! "," 106 minutes ","Andrew V. McLaglen",03/09/04,"James Stewart",$15.37
1576,"Innerspace    ","2 hours, 0 minutes","Joe Dante",1987,"Dennis Quaid, Martin Short","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1577,"Bridges At Toko-Ri, The "," 104 minutes ",,05/22/01,"William Holden",$5.92
1578,"Moby Dick "," 116 minutes ","John Huston",06/19/01,"Gregory Peck",$46.93
